District,"BEIS territorial emissions (kt CO2, 2019)","Mid-year population (thousands, 2019)",CSE territorial emissions (kt CO2e),CSE consumption emissions (kt CO2e)
Basingstoke and Deane,944.510286501,176.582,1368.4449056548,1309.371086
East Hampshire,588.788293145,122.308,867.2651261869,994.374269
Eastleigh,561.086585327,133.584,750.454703543,902.341291
Fareham,458.52500014,116.233,640.0536688006,799.894211
Gosport,202.207174848,84.838,305.4789891877,497.133842
Hart,472.309336787,97.073,632.92458803055,782.769513
Havant,404.19205851,126.22,557.2358345297,786.002123
Isle of Wight,463.916868769,141.771,800.0641208009,999.824455
New Forest,928.04049769,180.086,1404.353979075,1352.881186
Portsmouth,751.083857681,214.905,1117.8516101391,1192.447912
Rushmoor,349.342717931,94.599,472.1254309244,624.94073
Southampton,722.626151067,252.52,1039.5370828142,1386.196814
Test Valley,792.836822171,126.16,1156.4811182,986.411582
Winchester,781.979105603,124.859,1104.098257498,1018.744
