District,"DESNZ territorial emissions (kt CO2, 2019)","Mid-year population (thousands, 2019)",CSE territorial emissions (kt CO2e),CSE consumption emissions (kt CO2e)
Basingstoke and Deane,1115.364872514,181.9125623,1351.6711401848,1309.371086
East Hampshire,641.362217443,123.6686322,854.0843804569,994.374269
Eastleigh,593.181328346,133.8595364,748.761281271,902.341291
Fareham,498.247514153,115.5496419,638.4502645606,799.894211
Gosport,221.328974507,83.2069374700001,305.1743847117,497.133842
Hart,500.267982401,98.2639630800002,628.43105428055,782.769513
Havant,424.982525089,124.7666863,556.3026639357,786.002123
Isle of Wight,626.437276337,141.7895874,788.7384156609,999.824455
New Forest,989.007724299,178.5318299,1389.702228705,1352.881186
Portsmouth,802.42034344898,208.8491774,1117.3425777094,1192.447912
Rushmoor,383.125340484,99.3125458200002,471.8609871113,624.94073
Southampton,783.55552188,249.426437,1039.184032773,1386.196814
Test Valley,920.690684985,128.6025252,1136.26061083,986.411582
Winchester,909.223277549,124.7564295,1083.753834008,1018.744
